day,month,date_str,month_name,anniversary_score,years_in_block,avg_block_length,coverage_percent,efficiency_ratio,score_details
21,9,21/09,September,6,1,27.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
5,10,05/10,October,6,1,26.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
12,10,12/10,October,6,1,25.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
23,10,23/10,October,6,1,23.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
6,12,06/12,December,6,1,26.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 2, 'other': 47}"
26,12,26/12,December,6,1,28.0,2.0,3.0,"{'in_block': 1, 'one_day_away': 1, 'two_days_away': 0, 'other': 48}"
29,6,29/06,June,5,1,22.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
1,7,01/07,July,5,1,21.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
9,7,09/07,July,5,1,29.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
24,7,24/07,July,5,1,27.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
7,8,07/08,August,5,1,26.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
9,8,09/08,August,5,1,26.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
25,8,25/08,August,5,1,23.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
10,9,10/09,September,5,1,27.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
15,9,15/09,September,5,1,24.0,2.0,2.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 1, 'other': 48}"
